matagent,severity,nace_r2,sex,age,unit,time\geo	EU28 	EU27 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	SE 	UK 	NO 	CH 
MAT_0100,D_GE4,A,F,TOTAL,NR,2014	3671 	3659 	17 	2 	0 	0 	9 	30 	0 	0 	968 	15 	12 	2052 	0 	1 	0 	0 	45 	0 	0 	307 	42 	127 	1 	0 	25 	18 	0 	0 	0 
MAT_0100,D_GE4,A,F,TOTAL,PC,2014	10.57 	10.56 	24.64 	50 	0 	0 	0.07 	17.95 	0 	0 	21.56 	0.4 	21.82 	29.5 	0 	6.25 	0 	0 	27.95 	0 	0 	28.22 	20.29 	11.56 	14.29 	0 	22.94 	10 	0 	0 	0 
MAT_0100,D_GE4,A,F,TOTAL,RT_INC,2014	118.07 	118.35 	247.38 	8.68 	0 	0 	0.84 	433.6 	0 	0 	821.54 	17.23 	68.53 	911.59 	0 	14.97 	0 	0 	133.08 	0 	0 	346.61 	5.95 	92.6 	1.14 	0 	141.59 	85.08 	0 	0 	0 
MAT_0100,D_GE4,A,F,UNK,NR,2014	49 	48 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	48 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,F,UNK,PC,2014	36.3 	35.82 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	100 	47.06 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,F,UNK,RT_INC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,F,Y25-54,NR,2014	2161 	2152 	9 	1 	0 	0 	0 	16 	0 	0 	727 	11 	9 	1074 	0 	1 	0 	0 	30 	0 	0 	157 	31 	67 	1 	0 	17 	9 	0 	0 	0 
MAT_0100,D_GE4,A,F,Y25-54,PC,2014	9.63 	9.61 	21.95 	50 	0 	0 	0 	16.72 	0 	0 	20.69 	0.44 	19.15 	26.13 	0 	8.33 	0 	0 	24.59 	0 	0 	25.78 	21.09 	8.82 	14.29 	0 	22.97 	8.7 	0 	0 	0 
MAT_0100,D_GE4,A,F,Y25-54,RT_INC,2014	107.97 	108.24 	179.93 	5.87 	0 	0 	0 	360.6 	0 	0 	724.79 	15.32 	67.77 	670.28 	0 	18.75 	0 	0 	120.03 	0 	0 	285.12 	5.73 	143.17 	1.42 	0 	137.82 	80.37 	0 	0 	0 
MAT_0100,D_GE4,A,F,Y_GE55,NR,2014	1320 	1318 	4 	1 	0 	0 	9 	11 	0 	0 	164 	2 	2 	897 	0 	0 	0 	0 	13 	0 	0 	141 	9 	50 	0 	0 	8 	9 	0 	0 	0 
MAT_0100,D_GE4,A,F,Y_GE55,PC,2014	16.39 	16.37 	57.14 	100 	0 	0 	0.3 	20.4 	0 	0 	27.84 	0.45 	40 	34.91 	0 	0 	0 	0 	39.39 	0 	0 	31.9 	17.65 	21.42 	0 	0 	25 	25 	0 	0 	0 
